,semester,program,course_code,waitlisted,number_of_students
473,202070,EC-MS-AIT,AIT614,T,143.0
474,202070,EC-MS-AIT,AIT660,T,138.0
475,202070,EC-MS-AIT,AIT664,T,144.0
476,202070,EC-MS-AIT,AIT672,T,136.0
477,202070,EC-MS-AIT,AIT677,T,141.0
478,202070,EC-MS-CEIE,CEIE601,F,41.0
479,202070,EC-MS-CEIE,CEIE634,F,11.0
480,202070,EC-MS-CEIE,CEIE639,F,3.0
481,202070,EC-MS-CEIE,CEIE601,T,108.0
482,202070,EC-MS-CEIE,CEIE634,T,138.0
483,202070,EC-MS-CEIE,CEIE639,T,146.0
484,202070,EC-MS-CS,CS530,F,149.0
485,202070,EC-MS-CS,CS531,F,145.0
486,202070,EC-MS-CS,CS550,F,49.0
487,202070,EC-MS-CS,CS583,F,53.0
488,202070,EC-MS-CS,ISA673,F,4.0
489,202070,EC-MS-CS,CS530,T,0.0
490,202070,EC-MS-CS,CS531,T,4.0
491,202070,EC-MS-CS,CS550,T,100.0
492,202070,EC-MS-CS,CS583,T,96.0
493,202070,EC-MS-CS,ISA673,T,145.0
494,202070,EC-MS-DAEN,AIT524,F,6.0
495,202070,EC-MS-DAEN,AIT580,F,62.0
496,202070,EC-MS-DAEN,AIT590,F,2.0
497,202070,EC-MS-DAEN,AIT614,F,6.0
498,202070,EC-MS-DAEN,AIT622,F,5.0
499,202070,EC-MS-DAEN,AIT664,F,5.0
500,202070,EC-MS-DAEN,AIT722,F,2.0
501,202070,EC-MS-DAEN,AIT736,F,3.0
502,202070,EC-MS-DAEN,CS504,F,105.0
503,202070,EC-MS-DAEN,CS584,F,22.0
504,202070,EC-MS-DAEN,HAP780,F,1.0
505,202070,EC-MS-DAEN,OR531,F,73.0
506,202070,EC-MS-DAEN,OR568,F,3.0
507,202070,EC-MS-DAEN,STAT515,F,119.0
508,202070,EC-MS-DAEN,STAT544,F,5.0
509,202070,EC-MS-DAEN,STAT554,F,10.0
510,202070,EC-MS-DAEN,STAT663,F,3.0
511,202070,EC-MS-DAEN,SYST568,F,8.0
512,202070,EC-MS-DAEN,SYST573,F,5.0
513,202070,EC-MS-DAEN,SYST688,F,2.0
514,202070,EC-MS-DAEN,AIT524,T,143.0
515,202070,EC-MS-DAEN,AIT580,T,87.0
516,202070,EC-MS-DAEN,AIT590,T,147.0
517,202070,EC-MS-DAEN,AIT614,T,143.0
518,202070,EC-MS-DAEN,AIT622,T,144.0
519,202070,EC-MS-DAEN,AIT664,T,144.0
520,202070,EC-MS-DAEN,AIT722,T,147.0
521,202070,EC-MS-DAEN,AIT736,T,146.0
522,202070,EC-MS-DAEN,CS504,T,44.0
523,202070,EC-MS-DAEN,CS584,T,127.0
524,202070,EC-MS-DAEN,HAP780,T,148.0
525,202070,EC-MS-DAEN,OR531,T,76.0
526,202070,EC-MS-DAEN,OR568,T,146.0
